"","pitch_type","release_speed","pitcher","description","balls","strikes","plate_x","plate_z","home_score","away_score"
"7547","FT",95.9,523260,"ball",0,0,1.153,4.1085,1,1
"7548","FF",91.7,445197,"called_strike",0,0,-0.2222,1.7508,8,3
"7550","FF",93.4,453284,"ball",0,0,1.3969,2.2968,11,2
"7551","FS",92.2,544727,"ball",0,0,-1.5001,0.9128,2,0
"7552","FC",84.2,641941,"ball",0,0,0.1262,0.4168,1,4
"7554","CU",75.3,594943,"ball",0,0,1.4123,1.7019,5,1
"7556","SL",83.2,606478,"called_strike",1,1,0.6386,2.8165,6,5
"7557","FS",82.5,461325,"ball",1,2,1.391,-0.0871,7,4
"7560","FF",92.2,461325,"ball",0,2,1.2118,4.087,7,4
"7561","FF",92.7,445197,"ball",3,2,1.5102,2.9355,8,3
"7565","SL",84.4,502085,"ball",1,2,1.5815,0.6733,8,4
"7566","FF",93.4,606478,"ball",0,1,2.4445,1.9994,6,5
"7568","FF",92.4,458006,"ball",1,2,-0.6928,4.9999,1,4
"7571","FC",82.9,641941,"ball",0,0,-0.0734,0.964,1,4
"7572","SL",85.2,591693,"ball",0,1,1.7134,2.0243,2,0
"7576","SL",87.8,445197,"ball",2,2,-0.4958,0.6927,8,3
"7578","FF",95.7,523260,"called_strike",1,0,0.6284,2.6475,1,1
"7581","FT",95.3,504379,"ball",2,2,-1.6537,3.397,4,6
"7582","FC",91.5,502085,"ball",0,2,1.4832,1.7161,8,4
"7583","SL",80.7,591693,"called_strike",0,0,0.3952,2.3771,2,0
"7585","SI",96.9,519301,"ball",2,2,-0.9957,4.0757,11,5
"7587","FF",90.6,458006,"ball",0,1,1.2476,3.2405,1,4
"7588","FF",96,523260,"ball",0,0,-0.837,3.8828,1,1
"7589","FC",86.3,594943,"called_strike",0,0,-0.3777,1.7515,5,1
"7590","FC",91.2,502085,"called_strike",0,1,-0.1772,1.7246,8,4
"7591","CU",71.9,279571,"ball",0,0,2.1822,0.1059,11,2
"7595","FF",93.3,606478,"called_strike",3,0,0.2797,2.1792,6,5
"7599","SL",85.7,445197,"ball",1,1,0.8761,0.9239,8,3
"7601","FF",93.1,608716,"called_strike",1,1,-0.3636,1.7258,1,1
"7602","SL",83.1,455119,"ball",0,0,0.1376,0.9034,1,4
"7603","FF",93.9,504379,"called_strike",2,0,-0.7294,1.9807,4,6
"7605","FC",91.1,502085,"called_strike",0,0,0.7061,1.746,8,4
"7608","SI",89.7,571948,"ball",0,1,-1.0634,2.952,2,0
"7610","CH",86.5,606478,"ball",2,0,-1.4958,2.6428,6,5
"7611","FF",92.4,608716,"called_strike",1,0,-0.0132,1.9074,1,1
"7612","FF",95,504379,"ball",1,0,-1.7626,3.6043,4,6
"7613","SI",96.3,519301,"ball",1,1,-1.1713,2.0805,11,5
"7615","CU",73.8,445197,"ball",0,1,0.8522,4.0771,8,3
"7617","FF",93,455119,"called_strike",3,2,0.4556,2.1259,1,4
"7619","CU",76.4,571948,"called_strike",0,0,0.9378,2.3657,2,0
"7620","FF",92.1,445197,"called_strike",0,0,-0.8754,2.6915,8,3
"7621","FF",90.9,643493,"called_strike",0,1,-0.3144,2.4422,8,4
"7622","FF",91.8,608716,"ball",0,0,-1.3404,3.6751,1,1
"7624","FF",92.5,673633,"ball",1,2,-1.9545,3.9762,5,1
"7625","SL",84.4,606478,"ball",1,0,1.0778,1.3035,6,5
"7626","SL",84.8,279571,"ball",1,1,0.6326,3.7758,11,2
"7627","SI",95.6,519301,"ball",0,1,-0.8117,3.3768,11,5
"7629","SL",83.9,458006,"called_strike",1,1,0.9943,1.6547,1,4
"7630","FF",94.7,504379,"ball",0,0,-0.6429,1.2482,4,6
"7631","FF",90.3,643493,"called_strike",0,0,-0.8303,2.8976,8,4
"7634","FF",89.4,461325,"ball",0,0,1.2975,2.7883,7,4
"7635","SI",88.7,571948,"called_strike",2,2,-0.2737,1.5031,2,0
"7637","SL",84.5,458006,"ball",0,1,1.9588,1.2347,1,4
"7642","SL",83.9,279571,"ball",0,1,-0.868,3.0847,11,2
"7643","CH",86.2,519301,"called_strike",3,2,-0.5067,1.5538,11,5
"7644","FF",91.8,445197,"ball",1,2,-0.9575,1.1673,8,3
"7647","FF",93.2,455119,"called_strike",3,0,0.596,2.4213,1,4
"7648","SI",89.5,571948,"ball",1,2,2.3686,2.2523,2,0
"7649","FF",92.3,673633,"called_strike",1,0,-0.1547,2.1862,5,1
"7650","CU",70.2,279571,"called_strike",0,0,-0.0993,1.7447,11,2
"7653","FF",94.9,504379,"ball",1,1,0.6575,3.1089,3,6
"7654","SI",90.7,458006,"called_strike",0,0,0.6493,2.1183,1,4
"7655","CU",77.5,571948,"ball",0,2,-1.5248,1.5512,2,0
"7657","SI",95.6,519301,"ball",2,2,-1.0202,3.7178,11,5
"7658","FF",93.9,608716,"ball",2,2,-1.3383,2.5116,1,1
"7660","CH",86,606478,"called_strike",0,0,0.0382,2.5027,5,5
"7663","FT",93.7,462382,"called_strike",1,2,0.6865,1.7484,11,2
"7664","FF",93.1,455119,"ball",2,0,0.276,3.4609,1,4
"7665","FF",92.3,673633,"ball",0,0,-1.1602,3.3836,5,1
"7666","CU",84.1,643493,"ball",2,2,1.2128,-0.2142,8,4
"7669","FF",92,445197,"called_strike",1,0,0.6041,1.7819,8,3
"7670","SI",88.9,571948,"called_strike",0,1,1.0389,2.0595,2,0
"7672","CU",81.5,455119,"ball",1,0,-0.9057,1.7556,1,4
"7673","SI",95.5,519301,"ball",1,2,0.9332,2.1873,11,5
"7676","SL",88.5,504379,"ball",0,0,1.0493,1.3849,3,6
"7678","SL",84.8,502327,"ball",0,1,-1.8655,0.9289,7,4
"7681","FF",92.5,643493,"ball",1,1,2.0252,3.4395,8,4
"7685","CU",76.5,571948,"called_strike",0,0,-0.5659,2.04,2,0
"7687","KC",78,519301,"called_strike",1,1,0.143,1.7791,11,5
"7689","FF",92,445197,"ball",0,0,-1.7917,2.4345,8,3
"7690","FC",89.7,455119,"ball",0,0,0.8618,0.8752,1,4
"7693","FS",82.2,673633,"ball",1,2,0.3719,0.8689,5,1
"7694","FF",93.4,489446,"called_strike",3,2,0.0526,1.6422,8,3
"7695","FF",93.9,608716,"ball",1,0,-1.0618,2.2056,1,1
"7697","FF",91,462382,"ball",0,0,0.4295,1.4074,11,2
"7698","FF",92.8,606478,"called_strike",1,0,-0.3648,1.5194,5,5
"7700","KC",79.9,519301,"ball",0,1,-1.1687,1.3015,11,5
"7701","FF",91.7,504379,"ball",0,0,0.7715,1.2726,3,6
"7702","SL",85.6,458006,"ball",1,1,1.0162,1.529,1,4
"7703","FF",93.7,455119,"ball",0,0,-1.3712,2.6633,1,4
"7705","SI",94.9,519301,"called_strike",0,0,0.1097,2.1476,11,5
"7706","SL",83,644364,"ball",0,2,2.4753,0.5703,2,0
"7708","FF",92.7,608716,"ball",0,0,-1.4845,2.7331,1,1
"7709","FS",85.1,673633,"ball",0,2,0.3177,0.4419,5,1
"7710","FS",86.2,489446,"ball",2,2,0.6258,-0.3304,8,3
"7711","FF",93.1,643493,"ball",0,0,1.9638,3.1582,8,4
"7712","SL",85.5,458006,"called_strike",1,0,0.2845,2.1076,1,4
"7713","FF",91.4,606478,"ball",0,0,-1.2285,3.0075,5,5
"7716","SL",85.8,458006,"ball",0,0,2.096,1.2276,1,4
"7723","CU",77.4,462382,"called_strike",0,0,-0.4145,2.745,11,2
"7724","FF",92.5,673633,"called_strike",0,1,0.4635,2.4342,5,1
"7725","CH",82.6,502327,"ball",0,1,1.4651,3.7758,7,4
"7726","SL",84.5,644364,"called_strike",0,1,0.9106,2.8202,2,0
"7727","FF",90.7,504379,"called_strike",0,0,-0.7733,2.7649,3,6
"7728","FF",93.1,673633,"called_strike",0,0,-0.1494,2.0312,5,1
"7729","FF",89.1,502327,"called_strike",0,0,0.3168,3.0759,7,4
"7733","FF",92.6,489446,"ball",1,2,-0.6808,4.0529,8,3
"7734","CH",88.1,606478,"ball",2,2,-0.0909,-0.1216,5,5
"7735","SL",85.2,608716,"ball",1,1,1.2252,3.4154,1,1
"7737","FF",93.9,455119,"called_strike",2,1,0.9635,2.3757,1,4
"7738","FF",95.5,518693,"ball",0,0,-1.3166,2.5365,11,5
"7739","FF",93.9,455119,"ball",1,1,1.0264,1.4798,1,4
"7741","CH",86.3,608716,"ball",0,1,-1.2671,1.777,1,1
"7743","CH",86.4,606478,"ball",1,2,0.0443,0.2815,5,5
"7745","FF",92,643493,"called_strike",0,0,-0.7373,2.4783,5,4
"7751","FC",89.7,455119,"ball",0,1,1.4783,2.9704,1,4
"7752","SI",92.4,473879,"ball",0,0,-0.6631,3.6186,3,6
"7754","CH",88,462382,"ball",0,2,-1.0093,1.2277,11,2
"7755","FF",91.9,673633,"ball",1,2,-1.3409,2.8351,5,1
"7756","FF",93.3,606478,"called_strike",1,1,-0.0803,2.0395,5,5
"7757","SI",92,458006,"ball",2,2,1.5184,1.8429,1,4
"7762","FT",91.9,607625,"called_strike",2,1,0.166,3.5691,2,0
"7764","CH",85.4,607625,"ball",1,1,-0.9088,1.3956,2,0
"7765","FT",97.1,446099,"ball",1,1,-0.3615,1.4293,7,4
"7766","FS",86.9,489446,"ball",0,0,0.3302,1.0638,8,3
"7767","FS",84.3,673633,"called_strike",1,1,-0.712,1.3464,5,1
"7768","CH",86.3,606478,"ball",0,1,0.3109,1.0045,5,5
"7775","FT",94.6,518693,"ball",0,0,1.4815,2.1113,11,5
"7776","CH",85.9,473879,"ball",1,0,-1.8779,3.0089,3,6
"7777","SL",86.8,607625,"ball",0,1,0.4037,1.1181,2,0
"7779","SI",91.4,458006,"ball",1,2,-1.3097,1.4235,1,4
"7781","SL",88.2,643493,"called_strike",2,0,0.887,1.8438,5,4
"7786","CH",85.3,606478,"called_strike",0,0,-0.2522,2.4745,5,5
"7788","SL",85,605476,"called_strike",1,1,0.2795,2.0411,1,1
"7789","SL",82.7,458006,"ball",0,2,1.6147,1.26,1,4
"7790","FT",96,446099,"ball",0,0,-1.0348,3.4501,7,4
"7792","FT",90.8,462382,"called_strike",0,0,0.1626,1.6204,11,2
"7794","FF",91.8,489446,"called_strike",3,0,-0.1705,2.9195,8,3
"7796","FF",92,473879,"ball",0,0,-1.5808,2.8202,3,6
"7797","SL",88.6,643493,"ball",1,0,1.2485,1.837,5,4
"7798","FF",92.1,673633,"ball",0,0,0.865,3.3451,5,1
"7800","FF",91.9,643493,"ball",0,0,2.0641,2.7859,5,4
"7801","SI",90.5,458006,"called_strike",0,1,0.8011,1.8794,1,4
"7803","FC",80.4,641941,"ball",0,0,-1.3183,4.0886,1,4
"7804","FF",92,489446,"ball",2,0,0.7422,3.4994,8,3
"7805","FT",94.5,518693,"ball",2,1,0.8063,3.7878,11,5
"7806","SI",93.5,605476,"ball",0,1,-0.1937,1.4067,1,1
"7809","SL",87,444468,"ball",0,1,1.4575,1.437,5,5
"7812","CU",80.3,446099,"called_strike",1,0,-0.0272,1.9329,7,4
"7813","FF",94,518693,"ball",1,1,0.4501,3.6377,11,5
"7816","CU",74.1,279571,"called_strike",0,1,-0.0409,2.9533,11,2
"7817","FT",93.1,607625,"called_strike",1,1,0.5461,2.0735,2,0
"7818","SI",91.2,458006,"called_strike",0,0,0.6988,2.8171,1,4
"7821","SI",92.6,605476,"called_strike",0,0,-0.74,2.9478,1,1
"7822","FF",91.9,489446,"ball",1,0,-1.4037,2.7341,8,3
"7824","SI",93.3,473879,"ball",1,2,-1.3948,3.0246,3,6
"7827","FF",92,489446,"ball",0,0,0.2675,1.2769,8,3
"7830","FT",94.6,446099,"ball",0,0,-1.1635,3.271,7,4
"7831","SL",83.6,543056,"ball",1,0,0.8047,2.6374,1,4
"7833","FF",91.7,643493,"ball",2,2,1.5555,3.379,5,4
"7834","FF",89.4,279571,"called_strike",0,0,0.3694,3.0533,11,2
"7837","FF",89.3,596074,"ball",0,1,1.4119,2.0545,1,1
"7838","FT",91.5,621199,"ball",0,0,-1.7049,3.5746,1,4
"7841","SL",85.3,607625,"ball",0,0,-1.543,3.3645,2,0
